lig_0,lig_1,freenrg,error,engine
lig_ejm42,lig_ejm44,2.635560301769528,0.5,SOMD
lig_ejm42,lig_ejm53,3.0249961496560664,0.5,SOMD
lig_ejm31,lig_ejm48,1.4746363854397069,0.5,SOMD
lig_ejm47,lig_ejm55,-0.31549614743185095,0.5,SOMD
lig_ejm46,lig_jmc23,0.8023232745467264,0.5,SOMD
lig_ejm46,lig_ejm55,3.063361020653417,0.5,SOMD
lig_ejm50,lig_jmc30,-0.9967194724688866,0.5,SOMD
lig_ejm31,lig_jmc27,-1.2280346620416485,0.5,SOMD
lig_ejm42,lig_ejm47,-0.6414425080047935,0.5,SOMD
lig_ejm31,lig_ejm47,0.19425531917069117,0.5,SOMD
lig_ejm47,lig_ejm54,-1.2992442193313785,0.5,SOMD
lig_jmc23,lig_jmc27,1.297184071459385,0.5,SOMD
lig_ejm47,lig_ejm50,0.3842468705258399,0.5,SOMD
lig_jmc23,lig_jmc30,-1.082228147187289,0.5,SOMD
lig_ejm48,lig_ejm53,0.24320995387610278,0.5,SOMD
lig_ejm44,lig_ejm54,-3.7094229823191336,0.5,SOMD
lig_ejm45,lig_ejm47,0.37979457312509013,0.5,SOMD
lig_ejm54,lig_jmc28,-0.20672004995462298,0.5,SOMD
lig_ejm43,lig_ejm55,0.34967398769996705,0.5,SOMD
lig_ejm31,lig_ejm45,2.0877788248715694,0.5,SOMD
lig_ejm31,lig_ejm49,2.3267843782264817,0.5,SOMD
lig_jmc23,lig_jmc28,1.2076367384166011,0.5,SOMD
lig_ejm49,lig_ejm50,-3.087834531587477,0.5,SOMD
lig_ejm42,lig_ejm43,1.0624139930116978,0.5,SOMD
