lig_0,lig_1,freenrg,error,engine
lig_ejm42,lig_ejm46,-2.1586047350371422,0.5,SOMD
lig_ejm44,lig_jmc30,-3.798508259872568,0.5,SOMD
lig_ejm43,lig_ejm44,0.31501652317552353,0.5,SOMD
lig_ejm44,lig_jmc28,-2.3644986522608553,0.5,SOMD
lig_jmc27,lig_jmc30,-1.1922246817642295,0.5,SOMD
lig_ejm44,lig_ejm55,-2.6828106268515297,0.5,SOMD
lig_ejm48,lig_ejm55,0.696649895353879,0.5,SOMD
lig_ejm44,lig_ejm45,-0.9223929796735371,0.5,SOMD
lig_ejm42,lig_ejm47,-0.714540030328868,0.5,SOMD
lig_ejm53,lig_ejm54,-2.8391445308363457,0.5,SOMD
lig_ejm31,lig_ejm44,1.7198292366351404,0.5,SOMD
lig_ejm42,lig_ejm44,3.363176322510722,0.5,SOMD
lig_ejm42,lig_ejm53,1.3507821857326845,0.5,SOMD
lig_ejm43,lig_ejm50,-0.9969416941168049,0.5,SOMD
lig_ejm44,lig_ejm49,-0.21123436370452076,0.5,SOMD
lig_ejm46,lig_jmc23,-2.1947662964350227,0.5,SOMD
lig_jmc23,lig_jmc27,0.06217453233030318,0.5,SOMD
lig_ejm42,lig_ejm48,-0.2460255011340573,0.5,SOMD
lig_ejm44,lig_ejm46,-5.112221265488742,0.5,SOMD
lig_ejm42,lig_ejm45,-0.4541389596538373,0.5,SOMD
lig_ejm54,lig_ejm55,1.8009045741217569,0.5,SOMD
lig_ejm53,lig_jmc23,-4.709726687663756,0.5,SOMD
lig_ejm44,lig_ejm54,-2.458486611816648,0.5,SOMD
lig_ejm42,lig_ejm50,-0.423635316574299,0.5,SOMD
lig_ejm42,lig_ejm49,3.194553509197623,0.5,SOMD
lig_ejm31,lig_ejm55,0.6493759508085538,0.5,SOMD
lig_jmc27,lig_jmc28,-0.9561627870603597,0.5,SOMD
lig_ejm44,lig_ejm47,-1.161628677331873,0.5,SOMD
lig_ejm31,lig_jmc28,-2.597379737407719,0.5,SOMD
lig_ejm46,lig_jmc30,-1.0717595837632217,0.5,SOMD
